,Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location,month_year,Year,Month
58837,20110926656,11/28/2011 17:50,1,0,0,N,N,596389,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HILLSBORO PIKE & TYNE BLVD,NASHVILLE,TN,37215,6311,MIDTOW,36.0788,-86.837,"(36.0788, -86.837)",2011-11,2011,11
58854,20110927374,11/28/2011 23:16,1,0,0,N,N,728072,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),NAWAKWA TRL & OCOEE TRL,MADISON,TN,37115,1619,MADISO,36.2386,-86.6573,"(36.2386, -86.6573)",2011-11,2011,11
58905,20110929420,11/29/2011 17:20,1,0,0,N,N,653630,4,ANGLE,3,"SLEET, HAIL",2,DARK - NOT LIGHTED,50,DEER (ANIMAL),CLEVELAND HALL BLVD & OLD HICKORY BLVD,OLD HICKORY,TN,37138,9605,HERMIT,36.2281,-86.6251,"(36.2281, -86.6251)",2011-11,2011,11
58962,20110932438,11/30/2011 17:15,1,0,0,N,N,226584,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),HAMILTON CHURCH RD & HOBSON PIKE,ANTIOCH,TN,37013,8907,SOUTH,36.0586,-86.5977,"(36.0586, -86.5977)",2011-11,2011,11
59024,20110937241,12/2/2011 7:15,1,0,0,N,N,226208,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 24 E & OLD FRANKLIN RD,ANTIOCH,TN,37013,87040,SOUTH,36.0314,-86.6397,"(36.0314, -86.6397)",2011-12,2011,12
59060,20110938832,12/2/2011 19:25,1,0,0,N,N,646690,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),HWY 100 & VAUGHNS GAP RD,NASHVILLE,TN,37221,6211,WEST,36.0789,-86.8852,"(36.0789, -86.8852)",2011-12,2011,12
59068,20110939359,12/3/2011 12:23,1,1,0,N,N,596397,4,ANGLE,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),HWY 100 & VAUGHNS GAP RD,NASHVILLE,TN,37221,6211,WEST,36.0789,-86.8852,"(36.0789, -86.8852)",2011-12,2011,12
59106,20110941540,12/3/2011 23:49,1,0,0,N,N,591936,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BAKER STATION RD & SPRINGFIELD HWY,GOODLETTSVILLE,TN,37072,2217,MADISO,36.3766,-86.7487,"(36.3766, -86.7487)",2011-12,2011,12
59133,20110943114,12/4/2011 18:00,1,0,0,N,N,653637,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),GRANNY WRIGHT LN & HOBSON PIKE,HERMITAGE,TN,37076,8913,SOUTH,36.1087,-86.549,"(36.1087, -86.549)",2011-12,2011,12
59214,20110945739,12/5/2011 17:58,1,0,0,N,N,725756,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HILLSBORO PIKE & KINGSBURY DR,NASHVILLE,TN,37215,6205,WEST,36.064,-86.8478,"(36.064, -86.8478)",2011-12,2011,12
59235,20110946139,12/5/2011 21:00,1,0,0,N,N,596397,4,ANGLE,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),5125 FRANKLIN PIKE,NASHVILLE,TN,37220,7111,MIDTOW,36.0621,-86.7744,"(36.0621, -86.7744)",2011-12,2011,12
59414,20110956326,12/9/2011 7:12,1,0,0,N,N,620054,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),LAKEVIEW DR & RIVER ROAD PIKE,NASHVILLE,TN,37209,4705,WEST,36.1591,-86.9509,"(36.1591, -86.9509)",2011-12,2011,12
59420,20110956483,12/9/2011 7:48,3,1,0,N,N,225896,1,REAR END,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,12;50,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),E TRINITY LN & ELLINGTON PKWY,NASHVILLE,TN,37216,1894,EAST,36.2047,-86.7501,"(36.2047, -86.7501)",2011-12,2011,12
59467,20110957696,12/9/2011 16:25,1,0,0,N,N,414651,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BIDWELL RD & STAGNER RD,JOELTON,TN,37080,2317,NORTH,36.3277,-86.8867,"(36.3277, -86.8867)",2011-12,2011,12
59484,20110958589,12/9/2011 23:45,1,0,0,N,N,676828,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),2001 OLD HICKORY BLVD,BRENTWOOD,TN,37027,6301,MIDTOW,36.0463,-86.8583,"(36.0463, -86.8583)",2011-12,2011,12
59931,20110980138,12/17/2011 19:55,1,0,0,N,N,530853,5,SIDESWIPE - SAME DIRECTION,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),DRAKES BRANCH RD & KINGS LN,NASHVILLE,TN,37218,3127,NORTH,36.2173,-86.8486,"(36.2173, -86.8486)",2011-12,2011,12
59975,20110983427,12/19/2011 7:15,1,0,0,N,N,225585,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),ASHLAND CITY HWY & HYDES FERRY RD,NASHVILLE,TN,37218,3163,NORTH,36.199,-86.8452,"(36.199, -86.8452)",2011-12,2011,12
60100,20110988518,12/21/2011 0:30,1,0,0,N,N,824611,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),MT VIEW RD & MURFREESBORO PIKE,ANTIOCH,TN,37013,8927,SOUTH,36.0543,-86.6187,"(36.0543, -86.6187)",2011-12,2011,12
60107,20110989217,12/21/2011 6:40,1,0,0,N,N,226208,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,4,DAWN,50,DEER (ANIMAL),HAMILTON CHURCH RD & MURFREESBORO PIKE,ANTIOCH,TN,37013,8865,SOUTH,36.0648,-86.6285,"(36.0648, -86.6285)",2011-12,2011,12
60219,20110993739,12/22/2011 19:27,1,0,0,N,N,596389,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & HWY 96,NASHVILLE,TN,37221,4805,WEST,36.0175,-87.0309,"(36.0175, -87.0309)",2011-12,2011,12
60303,20110999278,12/25/2011 6:15,1,0,0,N,N,749286,2,HEAD-ON,1,NO ADVERSE CONDITIONS,4,DAWN,50,DEER (ANIMAL),ASHLAND CITY HWY & OLD HYDES FERRY PIKE,NASHVILLE,TN,37218,3235,NORTH,36.2114,-86.8978,"(36.2114, -86.8978)",2011-12,2011,12
60324,20111001110,12/26/2011 11:30,1,0,0,N,N,834821,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CLOVERLAND DR & STERLING OAKS DR,BRENTWOOD,TN,37027,8621,MIDTOW,36.0308,-86.7472,"(36.0308, -86.7472)",2011-12,2011,12
60735,20120005669,1/3/2012 6:15,1,0,0,N,N,226220,4,ANGLE,1,NO ADVERSE CONDITIONS,4,DAWN,50,DEER (ANIMAL),1237 DICKERSON PIKE,NASHVILLE,TN,37207,1911,EAST,36.1934,-86.7725,"(36.1934, -86.7725)",2012-01,2012,1
60788,20120009468,1/4/2012 9:00,1,0,0,N,N,226622,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),7927 RIVER ROAD PIKE,NASHVILLE,TN,37209,4705,WEST,36.1794,-86.9495,"(36.1794, -86.9495)",2012-01,2012,1
60841,20120012821,1/5/2012 6:55,1,0,0,N,N,225930,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CLARKSVILLE PIKE & STENBERG RD,WHITES CREEK,TN,37189,3229,NORTH,36.2666,-86.8577,"(36.2666, -86.8577)",2012-01,2012,1
60912,20120017721,1/6/2012 17:50,1,0,0,N,N,716893,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),5361 GRANNY WHITE PIKE,NASHVILLE,TN,37215,6305,MIDTOW,36.0624,-86.8141,"(36.0624, -86.8141)",2012-01,2012,1
60952,20120020363,1/7/2012 17:48,1,0,0,N,N,716886,4,ANGLE,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),13566 OLD HICKORY BLVD,ANTIOCH,TN,37013,8763,SOUTH,36.001,-86.6425,"(36.001, -86.6425)",2012-01,2012,1
60956,20120020545,1/7/2012 19:50,1,0,0,N,N,216865,4,ANGLE,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),1598 CRESTIEW DR,MADISON,TN,37115,1757,MADISO,36.2945,-86.7054,"(36.2945, -86.7054)",2012-01,2012,1
61035,20120027304,1/10/2012 6:05,1,0,0,N,N,226220,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,4,DAWN,50,DEER (ANIMAL),1580 SPRINGFIELD HWY,GOODLETTSVILLE,TN,37072,2201,MADISO,36.3731,-86.7448,"(36.3731, -86.7448)",2012-01,2012,1
61100,20120030812,1/11/2012 7:25,1,0,0,N,N,226605,4,ANGLE,2,RAIN,1,DAYLIGHT,50,DEER (ANIMAL),INDUSTRIAL DR & ROBINSON RD,OLD HICKORY,TN,37138,9611,HERMIT,36.2634,-86.662,"(36.2634, -86.662)",2012-01,2012,1
61146,20120032938,1/11/2012 22:08,1,0,0,N,N,596389,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2012-01,2012,1
61289,20120046310,1/16/2012 6:30,1,0,0,N,N,226099,2,HEAD-ON,1,NO ADVERSE CONDITIONS,4,DAWN,50,DEER (ANIMAL),ASHLAND CITY HWY & BRILEY PKWY N,NASHVILLE,TN,37218,31040,NORTH,36.2098,-86.8716,"(36.2098, -86.8716)",2012-01,2012,1
61472,20120059256,1/19/2012 20:45,1,0,0,N,N,725759,4,ANGLE,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),EDMONDSON PIKE & HOLT RD,NASHVILLE,TN,37211,8651,MIDTOW,36.0156,-86.7406,"(36.0156, -86.7406)",2012-01,2012,1
61510,20120062153,1/20/2012 17:24,1,0,0,N,N,633383,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),BRILEY PKWY E & WHITES CREEK PIKE,NASHVILLE,TN,37207,3010,NORTH,36.2339,-86.8152,"(36.2339, -86.8152)",2012-01,2012,1
61526,20120062401,1/20/2012 19:02,1,0,0,N,N,633383,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),EATONS CREEK RD & SULPHUR CREEK RD,NASHVILLE,TN,37218,3211,NORTH,36.2285,-86.8685,"(36.2285, -86.8685)",2012-01,2012,1
61611,20120069206,1/23/2012 6:47,1,0,0,N,N,224960,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BRILEY PKWY W & CLARKSVILLE PIKE,NASHVILLE,TN,37218,3216,NORTH,36.2291,-86.8343,"(36.2291, -86.8343)",2012-01,2012,1
61772,20120077902,1/25/2012 17:50,1,0,0,N,N,716893,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),LEALAND LN & TYNE BLVD,NASHVILLE,TN,37220,7109,MIDTOW,36.08,-86.7919,"(36.08, -86.7919)",2012-01,2012,1
62131,20120100182,2/1/2012 19:29,1,0,0,N,N,633383,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),I 24 E & WHITES CREEK PIKE,JOELTON,TN,37080,3318,NORTH,36.324,-86.8684,"(36.324, -86.8684)",2012-02,2012,2
62133,20120100267,2/1/2012 20:10,1,0,0,N,N,596386,2,HEAD-ON,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),POPLAR CREEK RD & WILLOW OAK DR,NASHVILLE,TN,37221,4809,WEST,36.0549,-86.9537,"(36.0549, -86.9537)",2012-02,2012,2
62639,20120133538,2/13/2012 5:58,1,0,0,N,N,468064,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,9,UNKNOWN,50,DEER (ANIMAL),CENTRAL PIKE & TULIP GROVE RD,HERMITAGE,TN,37076,9557,HERMIT,36.1725,-86.5951,"(36.1725, -86.5951)",2012-02,2012,2
62749,20120140102,2/15/2012 6:12,1,0,0,N,N,620054,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),CHARLOTTE PIKE & RIVER RD,NASHVILLE,TN,37209,4701,WEST,36.1287,-86.9064,"(36.1287, -86.9064)",2012-02,2012,2
63035,20120156383,2/20/2012 13:08,1,0,0,N,N,224960,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BRILEY PKWY E & I 24 E,NASHVILLE,TN,37207,3224,NORTH,36.2379,-86.7863,"(36.2379, -86.7863)",2012-02,2012,2
63337,20120176315,2/27/2012 6:10,1,0,0,N,N,653631,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),DICKERSON PIKE & DOVERSIDE DR,MADISON,TN,37115,2009,MADISO,36.2439,-86.7566,"(36.2439, -86.7566)",2012-02,2012,2
63443,20120181551,2/28/2012 18:59,4,2,0,N,N,653630,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,12;50,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),OLD HICKORY BLVD & RACHELS LN,OLD HICKORY,TN,37138,9739,HERMIT,36.2125,-86.6227,"(36.2125, -86.6227)",2012-02,2012,2
64668,20120237759,3/19/2012 7:33,1,0,0,N,N,635484,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),AMY LYNN DR & ASHLAND CITY HWY,NASHVILLE,TN,37218,3235,NORTH,36.2103,-86.8784,"(36.2103, -86.8784)",2012-03,2012,3
64794,20120246238,3/21/2012 21:40,1,0,0,Y,N,224486,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),2910 OLD FRANKLIN RD,ANTIOCH,TN,37013,8867,SOUTH,36.0384,-86.6353,"(36.0384, -86.6353)",2012-03,2012,3
65099,20120261134,3/26/2012 21:45,1,0,0,N,Y,633374,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HILLS LN & OLD HICKORY BLVD,OLD HICKORY,TN,37138,9739,HERMIT,36.2057,-86.6224,"(36.2057, -86.6224)",2012-03,2012,3
70769,20120541755,3/27/2012 12:59,,0,0,N,N,870648,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,12;50,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),LEBANON PIKE & OLD LEBANON PIKE,NASHVILLE,TN,37214,9125,HERMIT,36.1679,-86.664,"(36.1679, -86.664)",2012-03,2012,3
65187,20120265789,3/28/2012 5:36,1,0,0,N,N,714647,4,ANGLE,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & NATCHEZ TRACE PKWY,NASHVILLE,TN,37221,4805,WEST,36.0346,-86.9758,"(36.0346, -86.9758)",2012-03,2012,3
65485,20120277784,3/31/2012 23:40,1,1,0,N,N,717708,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),I 40 W & STEWARTS FERRY PIKE,NASHVILLE,TN,37214,94022,HERMIT,36.1558,-86.6294,"(36.1558, -86.6294)",2012-03,2012,3
66006,20120303014,4/9/2012 12:27,1,1,0,N,N,224640,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),0 LADY NASHVILLE DR,HERMITAGE,TN,37076,9525,HERMIT,36.215,-86.5857,"(36.215, -86.5857)",2012-04,2012,4
66036,20120303943,4/9/2012 18:22,1,0,0,N,N,755027,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BELL RD & HARBOR LIGHTS DR,NASHVILLE,TN,37217,8935,HERMIT,36.0939,-86.6249,"(36.0939, -86.6249)",2012-04,2012,4
66114,20120308886,4/11/2012 7:30,1,0,0,N,N,226306,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 70 S & OLD HICKORY BLVD,NASHVILLE,TN,37205,4903,WEST,36.0745,-86.9209,"(36.0745, -86.9209)",2012-04,2012,4
66192,20120312335,4/12/2012 6:00,1,0,0,N,N,224464,6,SIDESWIPE - OPPOSITE DIRECTION,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),DICKERSON PIKE & OLD HICKORY BLVD,MADISON,TN,37115,2039,MADISO,36.2693,-86.7557,"(36.2693, -86.7557)",2012-04,2012,4
66602,20120329177,4/17/2012 21:40,1,0,0,N,N,226220,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),1339 DICKERSON PIKE S,GOODLETTSVILLE,TN,37072,2109,MADISO,36.2863,-86.7453,"(36.2863, -86.7453)",2012-04,2012,4
67295,20120363177,4/29/2012 9:50,1,0,0,N,N,266964,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CROSSINGS BLVD & CROSSINGS CIR,ANTIOCH,TN,37013,8863,SOUTH,36.0376,-86.6433,"(36.0376, -86.6433)",2012-04,2012,4
68179,20120404749,5/13/2012 0:12,1,1,0,N,N,714631,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),HWY 100 & VAUGHNS GAP RD,NASHVILLE,TN,37221,6211,WEST,36.0789,-86.8852,"(36.0789, -86.8852)",2012-05,2012,5
68189,20120405091,5/13/2012 4:00,1,0,0,N,N,633391,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),I 40 E & 46TH AVE N,NASHVILLE,TN,37209,52025,WEST,36.1538,-86.8423,"(36.1538, -86.8423)",2012-05,2012,5
68228,20120406062,5/13/2012 15:30,1,0,0,N,N,714630,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,1,DAYLIGHT,50,DEER (ANIMAL),6961 HWY 70 S,NASHVILLE,TN,37221,4901,WEST,36.0764,-86.9149,"(36.0764, -86.9149)",2012-05,2012,5
68412,20120416294,5/16/2012 20:30,1,1,0,N,N,224946,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),7656 WHITES CREEK PIKE,JOELTON,TN,37080,2303,NORTH,36.3452,-86.8723,"(36.3452, -86.8723)",2012-05,2012,5
68637,20120429035,5/21/2012 8:16,1,0,0,N,N,462494,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,1,DAYLIGHT,50,DEER (ANIMAL),4535 CLARKSVILLE PIKE,NASHVILLE,TN,37218,3215,NORTH,36.2324,-86.8325,"(36.2324, -86.8325)",2012-05,2012,5
68762,20120435651,5/23/2012 10:12,2,0,0,N,N,224640,5,SIDESWIPE - SAME DIRECTION,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,12;50,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),I 40 E & FESSLERS LN,NASHVILLE,TN,37210,8215,HERMIT,36.1471,-86.7437,"(36.1471, -86.7437)",2012-05,2012,5
68889,20120441220,5/24/2012 21:00,1,0,0,N,N,807314,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),7300 CAROTHERS RD,ANTIOCH,TN,37013,8771,SOUTH,35.9803,-86.6122,"(35.9803, -86.6122)",2012-05,2012,5
69071,20120453637,5/29/2012 6:48,1,0,0,N,N,267831,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),110 TUNE AIRPORT DR,NASHVILLE,TN,37209,4653,WEST,36.1794,-86.8837,"(36.1794, -86.8837)",2012-05,2012,5
69181,20120460256,5/31/2012 5:25,1,0,0,N,N,225824,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,4,DAWN,50,DEER (ANIMAL),DERBY GLENN LN & OLD HICKORY BLVD,NASHVILLE,TN,37215,6305,MIDTOW,36.0424,-86.8373,"(36.0424, -86.8373)",2012-05,2012,5
69535,20120477334,6/5/2012 22:37,1,1,0,N,N,62062,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,10,SEVERE CROSSWIND,3,DARK - LIGHTED,50,DEER (ANIMAL),BONNASPRING DR & PLANTATION DR,HERMITAGE,TN,37076,9613,HERMIT,36.2004,-86.6242,"(36.2004, -86.6242)",2012-06,2012,6
69657,20120483698,6/7/2012 23:20,1,0,0,N,N,420059,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),MYATT DR & N GALLATIN PIKE,MADISON,TN,37115,1731,MADISO,36.2969,-86.6992,"(36.2969, -86.6992)",2012-06,2012,6
69661,20120484493,6/8/2012 6:20,1,0,0,N,N,226640,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 24 W & OLD HICKORY BLVD,ANTIOCH,TN,37013,8867,SOUTH,36.0145,-86.6204,"(36.0145, -86.6204)",2012-06,2012,6
69785,20120489406,6/10/2012 0:15,1,0,0,N,N,596399,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & VAUGHNS GAP RD,NASHVILLE,TN,37221,6211,WEST,36.0789,-86.8852,"(36.0789, -86.8852)",2012-06,2012,6
69874,20120494611,6/11/2012 18:30,1,1,1,N,N,224486,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CROSSINGS BLVD & CROSSINGS CIR,ANTIOCH,TN,37013,8863,SOUTH,36.0376,-86.6433,"(36.0376, -86.6433)",2012-06,2012,6
70120,20120508518,6/15/2012 21:45,1,0,0,N,N,834809,2,HEAD-ON,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),OLD HICKORY BLVD & OLD HICKORY BLVD,ANTIOCH,TN,37013,8971,SOUTH,36.0419,-86.5914,"(36.0419, -86.5914)",2012-06,2012,6
70139,20120509828,6/16/2012 12:39,1,0,0,N,N,459042,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 24 E & OLD HICKORY BLVD,ANTIOCH,TN,37013,8702,SOUTH,36.0142,-86.6205,"(36.0142, -86.6205)",2012-06,2012,6
70266,20120517008,6/19/2012 7:30,1,0,0,N,N,839053,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),7100 LEGACY DR,ANTIOCH,TN,37013,8763,SOUTH,36.0073,-86.6533,"(36.0073, -86.6533)",2012-06,2012,6
70336,20120520278,6/20/2012 8:55,1,0,0,N,N,226669,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),2835 BRICK CHURCH PIKE,NASHVILLE,TN,37207,3021,NORTH,36.2201,-86.7823,"(36.2201, -86.7823)",2012-06,2012,6
70566,20120531092,6/23/2012 19:08,1,0,0,N,N,224368,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,5,DUSK,50,DEER (ANIMAL),HARDING PL & HILLSBORO PIKE,NASHVILLE,TN,37215,6403,MIDTOW,36.0914,-86.8285,"(36.0914, -86.8285)",2012-06,2012,6
70651,20120536233,6/25/2012 16:02,1,0,0,N,N,620063,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),DICKERSON PIKE & HUNTERS LN,MADISON,TN,37115,2101,MADISO,36.2776,-86.7513,"(36.2776, -86.7513)",2012-06,2012,6
70806,20120544144,6/28/2012 7:15,1,0,0,N,N,226622,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 40 E & HWY 70 S,NASHVILLE,TN,37221,4806,WEST,36.0812,-86.9562,"(36.0812, -86.9562)",2012-06,2012,6
70867,20120546185,6/28/2012 23:05,1,0,0,N,N,834804,1,REAR END,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BRICK CHURCH LN & KNIGHT DR,WHITES CREEK,TN,37189,3223,NORTH,36.2446,-86.8018,"(36.2446, -86.8018)",2012-06,2012,6
70960,20120550046,6/30/2012 7:10,1,0,0,N,N,834822,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 70 & OLD CHARLOTTE PIKE,NASHVILLE,TN,37221,4713,WEST,36.0936,-87.0235,"(36.0936, -87.0235)",2012-06,2012,6
